ResourceID,Full Address,Address Type,Building Name,Building Number (Sub-Street),Sub-Street,Building Number (Street),Street,Locality,Town,County,Country,Postcode
536f10e4-61e7-4624-88d3-7736fc6c4f42,"4-8 Emerson Street, London, SE1 9DU",Primary,,,,4-8,Emerson Street,,London,,,SE1 9DU
538e5d07-ff9d-4baf-a054-ca214683d2f7,"Unit 3, 1-4 Christina Street, London, EC2A 4PA",Primary,Unit 3,,,1-4,Christina Street,,London,,,EC2A 4PA
539ebccd-0cb2-4527-9253-948828bf8402,"Syon Park, Brentford, Middlesex, TW8 8JF",Primary,,,,,Syon Park,,Brentford,Middlesex,,TW8 8JF
54351b07-355c-44fc-9e86-adcb4bb7cd59,"13 Axis Court, Mallard Way, Swansea Vale, Swansea, SA7 0AJ",Primary,,13,Axis Court,,Mallard Way,Swansea Vale,Swansea,,,SA7 0AJ
54575c5f-9fc8-473d-84e3-d960a39c2251,"151-153 Bermondsey Street, London, SE1 3HA",Primary,,,,151-153,Bermondsey Street,,London,,,SE1 3HA
549cfda4-50df-454f-aa01-c7312223d234,"69  Park Lane, Croydon, CR0 1BY",Primary,,,,69 ,Park Lane,,Croydon,,,CR0 1BY
54e85320-7312-403c-80b1-1ee8ad3a58bb,"Ground Floor - Ashford Offices, Ashford Road, London, NW2 6TP",Primary,Ground Floor - Ashford Offices,,,,Ashford Road,,London,,,NW2 6TP
54e94a19-a05b-4002-8e8e-4e8850989402,"127 Metal Box Factory, 30 Great Guildford Street, London, SE1 0HS",Primary,,127,Metal Box Factory,30,Great Guildford Street,,London,,,SE1 0HS
54e953e8-628c-44d1-8d6b-9c1c740a47f0,"Second Floor, 21  St Georges Road, London, SE1 6ES",Primary,Second Floor,,,21 ,St Georges Road,,London,,,SE1 6ES
5531b17e-67b6-42db-bd12-164b96eee41a,"Mortimer Wheeler House, 46 Eagle Wharf Road, London, N1 7ED",Primary,Mortimer Wheeler House,,,46,Eagle Wharf Road,,London,,,N1 7ED
556400e6-f5e1-4bcc-8d13-153c559c1d25,"2-3 Woodstock Street, London, W1C 2AB",Primary,,,,2-3,Woodstock Street,,London,,,W1C 2AB
55fe888f-1807-40fd-8b9d-50c3377c50c4,"Artillery House, 11-19 Artillery Row, Victoria, London, SW1P 1RT",Primary,Artillery House,,,11-19,Artillery Row,Victoria,London,,,SW1P 1RT
