ResourceID,Event Type
4239dfaa-739d-43d5-8091-7a8dfb94ef09,Watching Brief
425917cf-5b4a-4f35-8a7b-5440b288cbda,Watching Brief
426cbe3b-72dc-4425-891c-3220a4e1ad9d,Trial Trench
428ce366-b6cf-4b86-a986-a7724a6ff478,Trial Trench
429a9078-d80b-4706-be03-af2e8bfa1826,Desk Based Assessment
42a351df-587a-4329-ba09-916a2d41d192,Trial Trench
42a3a660-5d88-494b-bcb7-ad01a262467a,Trial Trench
42aff33e-b03c-4eda-83b9-b6fd96760284,Open Area Excavation
4329e4b2-b0c3-483f-aca2-70dcb3a8d0ab,Trial Trench
439abf84-7ff3-4388-b223-7661ab3366a6,Watching Brief
43a8523c-c9c6-4b12-b241-26d00e91a59e,Desk Based Assessment
43bb126c-a595-49ab-b8f7-c0fbfe9677c9,Desk Based Assessment
43ee9dc7-e1b5-4e1d-84d4-b6c5daabbfef,Trial Trench
4417841e-a215-418b-b950-2520d361dcc1,Trial Trench
447f0940-f3a1-456e-be6c-96ddc5176280,Evaluation
4482492e-8a41-4bbe-9516-4e0d77f4230e,Trial Trench
44827ab5-fc10-4ca7-9a00-6fb8d6ef7d94,Desk Based Assessment
44a908bf-6065-4ada-bae7-85d1c5b7005d,Trial Trench
44b25d3e-af83-4961-b55e-0b40e990f5fa,Trial Trench
44b633be-9ac6-4c9f-8772-5cf1589f30c0,Watching Brief
44b633be-9ac6-4c9f-8772-5cf1589f30c0,Trial Trench
44b633be-9ac6-4c9f-8772-5cf1589f30c0,Strip Map And Sample
44bab06a-1ecd-44de-ba72-56d3d996c697,Desk Based Assessment
45cc9a8a-b2a8-4c4e-8cfa-07300db3dfb5,Excavation
45cee3f6-7563-47af-ad99-aa44b8f00a7d,Trial Trench
4661862d-cc83-4fc3-9b50-0032bf4f3fd8,Watching Brief
466f8f4f-efba-453d-81aa-aa4263ccba31,Desk Based Assessment
46966c89-a230-46d1-a324-577cf38b2463,Desk Based Assessment
47dffb79-3822-4b7e-9949-e0dd6a5dbf4e,Trial Trench
4871338b-44d7-4dc9-8138-60d366cbbd68,Trial Trench
488c1625-6204-4b75-a05b-e0341763e8f5,Trial Trench
488c1625-6204-4b75-a05b-e0341763e8f5,Borehole Survey
489f923c-e4a9-415f-bac5-0f872dc38794,Trial Trench
