ResourceID,Location Description,Location Description Type
1ad35e0c-545b-4b14-9edd-1354be5df499,"Edbury Bridge Road, Gatliff Road Depot, SW1",Primary
1b2a4b05-6cb1-4006-8c53-4b7e7d3d0c1b,"Wright's Lane, W8",Primary
1b5cb441-e272-4fd3-85d6-87dfba75d7fa,"Bourne Road, Bexley",Primary
1bcc6168-99cb-473a-b973-1302b81fccb4,"Victoria Dock Road, Custom House, Newham",Primary
1bcc6168-99cb-473a-b973-1302b81fccb4,"Connaught Road, Custom House, Newham",Primary
1be95ab9-2d86-4438-82ac-f5e4a43e55ca,"Nine Elms Lane, Battersea, SW8",Primary
1c21da4a-c61e-470e-a14b-bd6d49bc3f08,Heathrow Airport,Primary
1c468a75-ced2-4b61-bc53-73657f49bd16,"St George's Wharf, Calypso Way",Primary
1c5efc8f-d424-4e53-839d-2c20aaae9dd8,Wood Street,Primary
1cc6180d-0516-4e6e-816a-9bd502415fbf,"Tooting High Street, Wandsworth, SW17",Primary
1cf703f2-d92a-4faf-ada3-28713bc6ee6f,"Thames Side, Kingston, KT1",Primary
1d202e4b-0e29-48d4-9998-34cbbb50966d,"Former Civic Centre Site, Albion Road, Bexleyheath, DA7",Primary
1d329275-898c-4fdf-aa48-13d50546d044,"Jackass Lane, Keston, Bromley",Primary
1d32e78a-31b7-4e63-b684-8483107047c2,"Ruston Road, Woolwich, Greenwich, SE18",Primary
1d32e78a-31b7-4e63-b684-8483107047c2,"Woolwich Church Street, Woolwich, Greenwich, SE18",Primary
1d533fd6-ddb3-4e24-af6e-c81a45535f50,"Sleaford Street, Nine Elms, Wandsworth, SW8 5AB",Primary
1d8a61bb-0628-42bf-86d2-72bb9c404508,"North Woolwich Road, E16",Primary
1d9e3266-17ed-4a91-befb-19ad286a5b22,"Silvertown Way, Canning Town, Newham",Primary
1d9e3266-17ed-4a91-befb-19ad286a5b22,"Hallsville Road, Canning Town, Newham",Primary
1d9e3266-17ed-4a91-befb-19ad286a5b22,"Rathbone Street, Canning Town, Newham",Primary
1de6b39c-c152-40de-be49-a0828011dcf4,"Woodside Road, Sidcup, Bexley",Primary
